open_time,PUT,BXM,BXMD,PPUT,CMBO
2021-04-07 00:00:00+00:00,2148.89,1568.28,3345.97,1386.84,2237.17
2021-04-08 00:00:00+00:00,2149.8,1568.41,3348.59,1392.93,2238.53
2021-04-09 00:00:00+00:00,2150.58,1570.06,3352.97,1403.57,2240.41
2021-04-12 00:00:00+00:00,2150.9,1569.5,3352.98,1403.27,2240.58
2021-04-13 00:00:00+00:00,2150.93,1569.3,3353.48,1407.88,2240.76
2021-04-14 00:00:00+00:00,2150.89,1568.93,3352.62,1402.28,2240.45
2021-04-15 00:00:00+00:00,2151.05,1570.47,3355.34,1417.84,2241.45
2021-04-16 00:00:00+00:00,2152.37,1566.62,3347.04,1422.56,2235.38
2021-04-19 00:00:00+00:00,2147.8,1561.39,3333.99,1416.07,2228.58
2021-04-20 00:00:00+00:00,2138.06,1555.69,3316.85,1408.75,2217.71
2021-04-21 00:00:00+00:00,2149.97,1564.72,3342.72,1418.5,2232.64
2021-04-22 00:00:00+00:00,2139.16,1556.14,3318.04,1408.27,2218.8
2021-04-23 00:00:00+00:00,2154.04,1567.05,3348.55,1419.93,2236.68
2021-04-26 00:00:00+00:00,2156.92,1569.1,3353.62,1421.71,2240.18
2021-04-27 00:00:00+00:00,2157.6,1569.85,3355.09,1421.26,2240.74
2021-04-28 00:00:00+00:00,2159.02,1569.6,3354.52,1419.58,2241.23
2021-04-29 00:00:00+00:00,2163.92,1574.74,3370.56,1428.33,2249.29
2021-04-30 00:00:00+00:00,2158.89,1569.39,3352.18,1421.56,2238.92
2021-05-03 00:00:00+00:00,2163.17,1573.71,3364.27,1421.95,2246.55
2021-05-04 00:00:00+00:00,2157.2,1568.27,3346.23,1413.28,2237.42
2021-05-05 00:00:00+00:00,2158.09,1570.27,3349.61,1413.99,2238.99
2021-05-06 00:00:00+00:00,2167.75,1577.51,3373.16,1424.33,2252.03
2021-05-07 00:00:00+00:00,2174.85,1583.44,3393.29,1433.75,2262.64
2021-05-10 00:00:00+00:00,2167.13,1576.03,3366.8,1419.73,2249.48
2021-05-11 00:00:00+00:00,2156.53,1568.73,3341.56,1408.44,2235.53
2021-05-12 00:00:00+00:00,2121.81,1542.74,3273.23,1385.69,2194.37
2021-05-13 00:00:00+00:00,2144.64,1560.75,3313.75,1396.52,2219.82
2021-05-14 00:00:00+00:00,2169.84,1579.16,3363.0,1413.94,2249.38
2021-05-17 00:00:00+00:00,2169.58,1578.61,3355.56,1409.78,2246.67
2021-05-18 00:00:00+00:00,2158.27,1569.93,3327.71,1397.96,2231.48
2021-05-19 00:00:00+00:00,2154.82,1566.87,3318.49,1393.75,2226.57
2021-05-20 00:00:00+00:00,2175.79,1583.22,3353.87,1408.24,2249.29
2021-05-21 00:00:00+00:00,2182.81,1583.79,3354.31,1407.69,2249.73
2021-05-24 00:00:00+00:00,2197.34,1594.24,3382.06,1417.42,2266.74
2021-05-25 00:00:00+00:00,2195.69,1592.86,3377.46,1414.51,2264.29
2021-05-26 00:00:00+00:00,2200.24,1596.28,3385.1,1415.71,2269.38
2021-05-27 00:00:00+00:00,2203.2,1598.93,3390.96,1416.74,2272.61
2021-05-28 00:00:00+00:00,2205.5,1599.8,3393.84,1417.55,2274.84
2021-06-01 00:00:00+00:00,2204.99,1600.31,3393.69,1416.76,2274.47
2021-06-02 00:00:00+00:00,2208.8,1602.62,3399.95,1418.08,2278.55
2021-06-03 00:00:00+00:00,2205.29,1600.59,3392.13,1413.37,2273.84
2021-06-04 00:00:00+00:00,2214.56,1607.44,3415.41,1424.5,2286.93
2021-06-07 00:00:00+00:00,2216.32,1608.59,3416.9,1423.01,2288.21
2021-06-08 00:00:00+00:00,2215.93,1608.41,3416.92,1423.45,2288.03
2021-06-09 00:00:00+00:00,2214.59,1606.91,3411.69,1421.14,2285.68
2021-06-10 00:00:00+00:00,2220.4,1611.69,3428.32,1427.1,2294.22
2021-06-11 00:00:00+00:00,2221.95,1613.47,3435.47,1429.79,2297.56
2021-06-14 00:00:00+00:00,2223.05,1613.51,3438.73,1432.49,2299.46
2021-06-15 00:00:00+00:00,2222.67,1613.27,3435.14,1429.61,2297.8
2021-06-16 00:00:00+00:00,2220.78,1612.21,3425.29,1422.17,2292.95
2021-06-17 00:00:00+00:00,2224.38,1614.52,3427.91,1421.26,2295.13
2021-06-18 00:00:00+00:00,2219.98,1610.0,3386.35,1404.41,2277.59
2021-06-21 00:00:00+00:00,2238.12,1623.29,3422.88,1419.2,2300.07
2021-06-22 00:00:00+00:00,2244.11,1628.05,3434.4,1425.18,2307.41
2021-06-23 00:00:00+00:00,2245.0,1627.84,3433.63,1423.06,2307.79
2021-06-24 00:00:00+00:00,2248.44,1631.04,3444.97,1430.88,2313.55
2021-06-25 00:00:00+00:00,2251.55,1632.97,3451.54,1435.14,2317.72
2021-06-28 00:00:00+00:00,2253.07,1634.48,3455.96,1438.14,2320.21
2021-06-29 00:00:00+00:00,2253.34,1634.47,3456.42,1438.65,2320.58
2021-06-30 00:00:00+00:00,2254.16,1635.77,3459.71,1440.3,2322.19
2021-07-01 00:00:00+00:00,2256.24,1636.45,3463.5,1447.67,2324.9
2021-07-02 00:00:00+00:00,2257.95,1638.35,3468.78,1458.41,2327.97
2021-07-06 00:00:00+00:00,2257.9,1638.17,3468.65,1455.46,2327.77
2021-07-07 00:00:00+00:00,2258.9,1638.42,3470.04,1460.14,2328.9
2021-07-08 00:00:00+00:00,2256.52,1635.85,3461.7,1448.29,2324.42
2021-07-09 00:00:00+00:00,2259.74,1640.28,3473.63,1464.12,2330.63
2021-07-12 00:00:00+00:00,2260.6,1640.02,3475.37,1469.07,2331.89
2021-07-13 00:00:00+00:00,2260.48,1639.37,3474.14,1463.93,2331.41
2021-07-14 00:00:00+00:00,2260.8,1639.54,3474.93,1465.74,2332.03
2021-07-15 00:00:00+00:00,2259.8,1641.0,3476.63,1461.65,2331.91
2021-07-16 00:00:00+00:00,2254.48,1626.33,3444.33,1451.94,2311.64
2021-07-19 00:00:00+00:00,2233.65,1608.91,3399.05,1435.54,2285.17
2021-07-20 00:00:00+00:00,2254.11,1625.93,3442.69,1451.19,2310.83
2021-07-21 00:00:00+00:00,2265.9,1634.75,3465.79,1459.41,2324.97
2021-07-22 00:00:00+00:00,2268.43,1636.68,3471.21,1461.75,2328.19
2021-07-23 00:00:00+00:00,2277.29,1643.95,3492.57,1474.52,2340.49
2021-07-26 00:00:00+00:00,2279.75,1645.53,3497.58,1477.15,2343.59
2021-07-27 00:00:00+00:00,2275.92,1642.02,3487.8,1471.15,2338.15
2021-07-28 00:00:00+00:00,2277.56,1643.72,3491.02,1470.17,2339.8
2021-07-29 00:00:00+00:00,2282.13,1647.23,3501.04,1475.46,2345.88
2021-07-30 00:00:00+00:00,2278.46,1643.92,3490.88,1468.32,2340.31
2021-08-02 00:00:00+00:00,2277.69,1643.7,3488.89,1465.58,2339.05
2021-08-03 00:00:00+00:00,2286.23,1650.3,3508.85,1475.7,2350.65
2021-08-04 00:00:00+00:00,2283.8,1648.95,3501.66,1469.21,2346.59
2021-08-05 00:00:00+00:00,2288.66,1652.44,3514.1,1477.24,2353.71
2021-08-06 00:00:00+00:00,2291.99,1655.14,3521.1,1479.13,2357.88
2021-08-09 00:00:00+00:00,2292.84,1655.64,3522.11,1477.74,2358.55
2021-08-10 00:00:00+00:00,2293.71,1656.07,3524.48,1479.17,2359.93
2021-08-11 00:00:00+00:00,2295.91,1657.95,3530.62,1482.5,2363.44
2021-08-12 00:00:00+00:00,2297.02,1659.15,3536.11,1487.2,2366.21
2021-08-13 00:00:00+00:00,2298.06,1659.53,3539.27,1489.56,2368.14
2021-08-16 00:00:00+00:00,2298.42,1660.12,3541.26,1493.42,2369.19
2021-08-17 00:00:00+00:00,2297.88,1659.09,3535.77,1483.0,2366.31
2021-08-18 00:00:00+00:00,2294.49,1656.41,3516.98,1467.58,2356.67
2021-08-19 00:00:00+00:00,2298.37,1659.58,3525.93,1469.17,2361.2
2021-08-20 00:00:00+00:00,2303.33,1671.53,3557.29,1479.61,2378.63
2021-08-23 00:00:00+00:00,2314.37,1679.41,3580.43,1489.37,2392.57
2021-08-24 00:00:00+00:00,2316.03,1680.46,3584.03,1491.15,2394.9
2021-08-25 00:00:00+00:00,2318.57,1682.04,3590.29,1493.74,2398.4
2021-08-26 00:00:00+00:00,2312.53,1677.96,3576.05,1486.76,2390.32
2021-08-27 00:00:00+00:00,2322.27,1685.32,3598.43,1497.41,2403.4
2021-08-30 00:00:00+00:00,2325.74,1687.79,3606.7,1503.04,2408.22
2021-08-31 00:00:00+00:00,2325.11,1686.97,3604.13,1501.39,2407.16
2021-09-01 00:00:00+00:00,2326.25,1688.07,3606.55,1501.51,2408.53
2021-09-02 00:00:00+00:00,2327.33,1689.03,3610.0,1506.03,2410.64
2021-09-03 00:00:00+00:00,2328.71,1689.64,3612.82,1505.19,2412.25
2021-09-07 00:00:00+00:00,2328.28,1689.37,3610.31,1500.02,2410.83
2021-09-08 00:00:00+00:00,2328.99,1689.88,3610.71,1497.8,2411.16
2021-09-09 00:00:00+00:00,2326.89,1688.35,3602.63,1491.21,2406.75
2021-09-10 00:00:00+00:00,2320.45,1683.31,3585.1,1481.03,2396.57
2021-09-13 00:00:00+00:00,2327.09,1688.24,3595.7,1482.97,2403.3
2021-09-14 00:00:00+00:00,2326.4,1687.06,3582.48,1474.48,2397.34
2021-09-15 00:00:00+00:00,2333.14,1692.96,3610.54,1486.65,2410.86
2021-09-16 00:00:00+00:00,2334.3,1693.95,3608.81,1484.22,2410.0
2021-09-17 00:00:00+00:00,2332.9,1684.64,3579.0,1471.79,2392.38
