symbol,alpha_name,direction,passed,median_fold_ic,positive_fold_ratio,max_fold_pnl_ratio,max_year_pnl_ratio,cost_drag_ratio,total_pnl,total_observations,min_fold_observations,check__折IC中位数为正,check__至少60%的折IC为正,check__单折PnL占比不超过50%,check__单一日历年PnL占比不超过60%,check__扣费后成本侵蚀比例不超过70%,check__总有效样本不少于1000根K线,check__每折样本不少于30根K线
AAPL,A20_market_breadth_24,regime,False,-0.04516827175566569,0.16666666666666666,0.4157612840696861,0.36661598011065405,0.026982173938035144,0.9615762583845013,2487,251,False,False,True,True,True,True,True
AAPL,A23_cross_sectional_relative_strength_24,relative_value,False,-0.02221756260508994,0.5,0.5011872585971888,0.2594065978611095,0.021541467616781648,0.5910801525801324,2463,251,False,False,False,True,True,True,True
MSFT,A01_ts_momentum_12,trend,False,-0.02699066452410883,0.3333333333333333,0.3968064059198624,0.4698576281463925,0.043755602825600065,-0.0011414013862420247,2463,251,False,False,True,True,True,True,True
MSFT,A01_ts_momentum_24,trend,False,-0.03508355661078431,0.16666666666666666,0.2481688586363317,0.25741976533557803,0.02729349549332656,0.254805376830096,2463,251,False,False,True,True,True,True,True
MSFT,A01_ts_momentum_48,trend,False,-0.029585535984258483,0.3333333333333333,0.38059450863484917,0.2552816611934744,0.015294645944053144,0.6135168076343132,2463,251,False,False,True,True,True,True,True
MSFT,A01_ts_momentum_72,trend,False,-0.02445862095459761,0.3333333333333333,0.43049746926603794,0.24244921139290787,0.00946924431773931,1.2556228348876382,2439,251,False,False,True,True,True,True,True
MSFT,A01_ts_momentum_120,trend,False,-0.007818927996105325,0.3333333333333333,0.40020502071865033,0.21558359541004662,0.0044697705618627435,1.7636971858598365,2391,251,False,False,True,True,True,True,True
MSFT,A16_momentum_ensemble,trend,False,-0.027958586846796696,0.16666666666666666,0.4307902025933276,0.2771757958984906,0.01995670027707734,0.47190269549225466,2463,251,False,False,True,True,True,True,True
MSFT,A24_skip_momentum_72_6,trend,False,-0.019807528904486903,0.3333333333333333,0.47376262944840764,0.2546364641735703,0.009380883291401776,1.2942114284444768,2433,251,False,False,True,True,True,True,True
MSFT,A24_skip_momentum_120_6,trend,False,-0.023523269719987756,0.16666666666666666,0.4499959113649413,0.22305388323768946,0.004479170373402186,1.655306179553708,2385,251,False,False,True,True,True,True,True
MSFT,A24_skip_momentum_168_6,trend,False,-0.013702062117164657,0.5,0.5051667245682996,0.24628682000892385,0.0035772434903193575,1.5776620177297385,2337,251,False,False,False,True,True,True,True
MSFT,A25_sign_tsmom_24,trend,False,-0.05287231437593277,0.3333333333333333,0.42162555053876544,0.20833397120801286,0.01813218709719369,0.37544818347763764,2487,251,False,False,True,True,True,True,True
MSFT,A25_sign_tsmom_72,trend,False,-0.009939322922521662,0.5,0.3450898453359286,0.21612259089542235,0.006219879745434487,1.8341447381132694,2439,251,False,False,True,True,True,True,True
MSFT,A25_sign_tsmom_168,trend,False,-0.0024047433623262705,0.3333333333333333,0.3794006942236515,0.21459601602139855,0.002600841017503609,1.8960956271021863,2343,251,False,False,True,True,True,True,True
