symbol,alpha_name,horizon_bars,year,observations,mean_forward_return,ic
BTCUSDT,A04_short_reversion_1,3,2023,2190,0.0014166642013055905,-0.058173329910282116
BTCUSDT,A04_short_reversion_1,3,2024,2196,0.0012576133607295407,-0.008072624792201617
BTCUSDT,A04_short_reversion_1,3,2025,2190,4.417841494311725e-05,0.008619474779359235
BTCUSDT,A04_short_reversion_1,3,2026,1513,-0.00011655845457381627,-0.021629278390799075
BTCUSDT,A04_short_reversion_1,6,2020,2096,0.004086767294905328,-0.009371358617401727
BTCUSDT,A04_short_reversion_1,6,2021,2190,0.0022771476562700043,0.0369259107939138
BTCUSDT,A04_short_reversion_1,6,2022,2190,-0.0023203712562343257,-0.009664804875671236
BTCUSDT,A04_short_reversion_1,6,2023,2190,0.00288717323800612,-0.04245983181900579
BTCUSDT,A04_short_reversion_1,6,2024,2196,0.0025029389862192184,0.012392202635087746
BTCUSDT,A04_short_reversion_1,6,2025,2190,6.568478702372625e-05,0.042913762931456705
BTCUSDT,A04_short_reversion_1,6,2026,1510,-0.00022039457616562338,-0.03280636761737584
BTCUSDT,A04_short_reversion_2,1,2020,2095,0.0006729821415924029,0.007871035420532883
BTCUSDT,A04_short_reversion_2,1,2021,2190,0.00038809867329112416,0.018330319312846063
BTCUSDT,A04_short_reversion_2,1,2022,2190,-0.0003892610753551619,-0.012566246547651056
BTCUSDT,A04_short_reversion_2,1,2023,2190,0.00046951690234148203,-0.024396861828822423
BTCUSDT,A04_short_reversion_2,1,2024,2196,0.00042397674881828327,-0.002869135895705115
BTCUSDT,A04_short_reversion_2,1,2025,2190,1.4375098166262898e-05,0.010758933880756168
BTCUSDT,A04_short_reversion_2,1,2026,1515,-4.405507064441999e-05,0.003301456365587251
BTCUSDT,A04_short_reversion_2,3,2020,2095,0.002004094975132542,-0.05768523306783977
BTCUSDT,A04_short_reversion_2,3,2021,2190,0.0011285121386776311,-0.0106996131008222
BTCUSDT,A04_short_reversion_2,3,2022,2190,-0.0011631806419079573,-0.023228794651021248
BTCUSDT,A04_short_reversion_2,3,2023,2190,0.0014166642013055905,-0.08714595606572448
