open_time,net_pnl,base_return,risk_position,gross_exposure,turnover,filter_trading_cost,financing_cost,equity
2019-12-03 00:00:00+00:00,-0.004694525144619634,-0.004694525144619634,1.0,1.0,0.0,0.0,0.0,4.189792511687534
2019-12-04 00:00:00+00:00,0.0030974057220689473,0.0030974057220689473,1.0,1.0,0.0,0.0,0.0,4.202769998987517
2019-12-05 00:00:00+00:00,0.0010920416251306595,0.0010920416251306595,1.0,1.0,0.0,0.0,0.0,4.207359598767262
2019-12-06 00:00:00+00:00,0.0064625508349942275,0.0064625508349942275,1.0,1.0,0.0,0.0,0.0,4.234549874055396
2019-12-09 00:00:00+00:00,-0.002566912414532526,-0.002566912414532526,1.0,1.0,0.0,0.0,0.0,4.223680155413726
2019-12-10 00:00:00+00:00,-0.0005172283123467373,-0.0005172283123467373,1.0,1.0,0.0,0.0,0.0,4.221495548455049
2019-12-11 00:00:00+00:00,0.003396973950391753,0.003396973950391753,1.0,1.0,0.0,0.0,0.0,4.235835858864847
2019-12-12 00:00:00+00:00,0.005150776254071711,0.005150776254071711,1.0,1.0,0.0,0.0,0.0,4.257653701622833
2019-12-13 00:00:00+00:00,0.002019955445678698,0.002019955445678698,1.0,1.0,0.0,0.0,0.0,4.2662539724032404
2019-12-16 00:00:00+00:00,0.006456970097686073,0.006456970097686073,1.0,1.0,0.0,0.0,0.0,4.293801046732182
2019-12-17 00:00:00+00:00,0.0003015516963030114,0.0003015516963030114,1.0,1.0,0.0,0.0,0.0,4.295095849721411
2019-12-18 00:00:00+00:00,0.0005200597956150218,0.0005200597956150218,1.0,1.0,0.0,0.0,0.0,4.297329556391164
2019-12-19 00:00:00+00:00,0.004588230554186398,0.004588230554186398,1.0,1.0,0.0,0.0,0.0,4.3170466951632065
2019-12-20 00:00:00+00:00,0.002676566343156931,0.002676566343156931,1.0,1.0,0.0,0.0,0.0,4.328601557049317
2019-12-23 00:00:00+00:00,-0.006861540914275277,-0.006861540914275277,1.0,1.0,0.0,0.0,0.0,4.298900680364027
2019-12-24 00:00:00+00:00,-0.0001927141599955604,-0.0001927141599955604,1.0,1.0,0.0,0.0,0.0,4.298072221330506
2019-12-26 00:00:00+00:00,0.0009393475034506407,0.0009393475034506407,1.0,1.0,0.0,0.0,0.0,4.302109604741264
2019-12-27 00:00:00+00:00,0.002071084213258285,0.002071084213258285,1.0,1.0,0.0,0.0,0.0,4.311019636027351
2019-12-30 00:00:00+00:00,-0.0049719707401283736,-0.0049719707401283736,1.0,1.0,0.0,0.0,0.0,4.289585372536904
2019-12-31 00:00:00+00:00,0.0012821676831076408,0.0012821676831076408,1.0,1.0,0.0,0.0,0.0,4.295085340275502
2020-01-02 00:00:00+00:00,0.011161290547157903,0.011161290547157903,1.0,1.0,0.0,0.0,0.0,4.343024035683156
2020-01-03 00:00:00+00:00,-0.006122717146838881,-0.006122717146838881,1.0,1.0,0.0,0.0,0.0,4.316432927950745
2020-01-06 00:00:00+00:00,0.006779705587154098,0.006779705587154098,1.0,1.0,0.0,0.0,0.0,4.345697072388949
2020-01-07 00:00:00+00:00,0.018911015216405577,0.018911015216405577,1.0,1.0,0.0,0.0,0.0,4.427878615850786
2020-01-08 00:00:00+00:00,0.0012043861875790113,0.0012043861875790113,1.0,1.0,0.0,0.0,0.0,4.433211491695993
2020-01-09 00:00:00+00:00,-0.003949709199319743,-0.003949709199319743,1.0,1.0,0.0,0.0,0.0,4.415701595484712
2020-01-10 00:00:00+00:00,0.010270352410590365,0.010270352410590365,1.0,1.0,0.0,0.0,0.0,4.461052407010345
2020-01-13 00:00:00+00:00,0.009552103609408915,0.009552103609408915,1.0,1.0,0.0,0.0,0.0,4.50366484180911
2020-01-14 00:00:00+00:00,0.025921972371088033,0.025921972371088033,1.0,1.0,0.0,0.0,0.0,4.620408717407126
2020-01-15 00:00:00+00:00,-0.0006362904999173158,-0.0006362904999173158,1.0,1.0,0.0,0.0,0.0,4.617468795234505
2020-01-16 00:00:00+00:00,0.0050291090473148295,0.0050291090473148295,1.0,1.0,0.0,0.0,0.0,4.640690549328313
2020-01-17 00:00:00+00:00,0.012712389328133563,0.012712389328133563,1.0,1.0,0.0,0.0,0.0,4.699684814342764
2020-01-21 00:00:00+00:00,-0.007300495305614638,-0.007300495305614638,1.0,1.0,0.0,0.0,0.0,4.665374787417787
2020-01-22 00:00:00+00:00,-0.0005679852834096543,-0.0005679852834096543,1.0,1.0,0.0,0.0,0.0,4.662724923196944
2020-01-23 00:00:00+00:00,-0.008308174173525978,-0.008308174173525978,1.0,1.0,0.0,0.0,0.0,4.623986192411783
2020-01-24 00:00:00+00:00,-0.006131753065122149,-0.006131753065122149,1.0,1.0,0.0,0.0,0.0,4.59563305090338
2020-01-27 00:00:00+00:00,0.0007058813533749562,0.0007058813533749562,1.0,1.0,0.0,0.0,0.0,4.598877022580965
2020-01-28 00:00:00+00:00,-0.0005,0.0315556510236946,0.0,0.0,1.0,0.0005,0.0,4.596577584069675
2020-01-29 00:00:00+00:00,-0.0009921369886910743,-0.0004921369886910743,1.0,1.0,1.0,0.0005,0.0,4.592017149427131
2020-01-30 00:00:00+00:00,0.010614468562558682,0.010614468562558682,1.0,1.0,0.0,0.0,0.0,4.640758971098456
2020-01-31 00:00:00+00:00,-0.020541537541807063,-0.020541537541807063,1.0,1.0,0.0,0.0,0.0,4.545430646471159
2020-02-03 00:00:00+00:00,-0.0005,0.011603550222622652,0.0,0.0,1.0,0.0005,0.0,4.543157931147924
2020-02-04 00:00:00+00:00,0.015688898443505482,0.016188898443505483,1.0,1.0,1.0,0.0005,0.0,4.61443507454251
2020-02-05 00:00:00+00:00,0.0199661287350839,0.0199661287350839,1.0,1.0,0.0,0.0,0.0,4.706567479280512
2020-02-06 00:00:00+00:00,0.01153424903674961,0.01153424903674961,1.0,1.0,0.0,0.0,0.0,4.7608542006948005
